"Country",'2017','2016','2015','2014','2013','2012','2011','2010','2009','2008','2007','2006','2005','2004','2003','2002','2001','2000'"
"Benin",'1573163','1324576','1268347','1044235','1078834','705839','422968','','889597','','','','','','','','',''"
"Burkina Faso",'10225459','9779154','7015446','5428655','3769051','3858046','428113','804539','182527','36514','44246','44265','21335','18256','','','',''"
"Cabo Verde",'423','48','7','26','22','1','7','47','65','35','18','80','68','45','68','76','107','144'"
"C̫te d'Ivoire",'3274683','3471024','3375904','3712831','2506953','1140627','29976','62726','7388','3527','','','67','293','1585','7628','11936','15705'"
"Gambia",'69931','153774','240382','166229','240792','300363','261967','116353','50378','39164','','','','','','','',''"
"Ghana",'4348694','4535167','4319919','3415912','1639451','3755166','1041260','1071637','1104370','1094483','476484','472255','655093','475441','','','',''"
"Guinea",'1335323','992146','810979','660207','211257','317200','95574','20936','35841','33405','44518','54227','50452','103069','107925','16561','6238','4800'"
"Guinea-Bissau",'89784','150903','142309','93431','54584','50381','71982','50391','11757','11299','14284','15120','14659','','','','',''"
"Liberia",'','1191137','931086','864204','1244220','1407455','1915762','922173','839581','606952','492272','761415','44875','','','','',''"
"Mali",'1918376','2156282','2295611','2039853','1367218','886482','307035','227482','','','','','','','','','',''"
"Niger",'2638580','4148167','2272000','1953309','2353422','2239858','780876','620058','309675','496858','249027','3956','56043','76030','56460','','',''"
"Nigeria",'11571958','9234387','6850782','7826954','','','','551187','479845','143079','','','','','','','',''"
"Senegal",'395706','349540','492253','268912','366687','280241','274119','330331','165933','241926','118332','48070','33160','22234','26865','14425','12920','44959'"
"Sierra Leone",'1651236','1775306','1483376','1374476','1701958','1537322','638859','934028','646808','154459','','4932','4808','2206','3945','3702','2206',''"
"Togo",'1209034','1183265','1113927','1130251','882430','697374','519450','617101','391338','344862','221110','','','','','','',''"
