"Country,""2017"",""2016"",""2015"",""2014"",""2013"",""2012"",""2011"",""2010"",""2009"",""2008"",""2007"",""2006"",""2005"",""2004"",""2003"",""2002"",""2001"",""2000"""
"Benin,""2182"",""1646"",""1416"",""1869"",""2288"",""2261"",""1753"",""964"",""1375"",""918"",""1290"",""1226"",""322"",""944"",""560"",""707"",""468"","""""
"Burkina Faso,""4144"",""3974"",""5379"",""5632"",""6294"",""7963"",""7001"",""9024"",""7982"",""7834"",""6472"",""8083"",""5224"",""4205"",""4860"",""4032"",""4233"","""""
"Cabo Verde,""2"",""1"",""0"",""1"",""0"",""0"",""1"",""1"",""2"",""2"",""2"",""8"",""2"",""4"",""4"",""2"",""0"","""""
"Cote d'Ivoire,""3222"",""3340"",""2604"",""4069"",""3261"",""1534"",""1389"",""1023"",""18156"",""1249"",""797"","""","""","""","""","""","""","""""
"Gambia,""54"",""79"",""167"",""170"",""262"",""289"",""440"",""151"",""240"",""403"",""424"",""150"",""426"",""153"",""192"",""259"",""275"","""""
"Ghana,""599"",""1264"",""2137"",""2200"",""2506"",""2855"",""3259"",""3859"",""3378"",""3889"",""4622"",""3125"",""2037"",""1575"",""2103"",""2376"",""1717"",""6108"""
"Guinea,""1174"",""867"",""846"",""1067"",""108"",""979"",""743"",""735"",""586"",""441"",""472"","""",""490"",""528"",""586"",""440"",""517"",""626"""
"Guinea-Bissau,""296"",""191"",""477"",""357"",""418"",""370"",""472"",""296"",""369"",""487"",""370"",""507"",""565"",""565"",""1137"",""780"",""635"","""""
"Liberia,""758"",""1259"",""1379"",""2288"",""1191"",""1725"","""",""1422"",""1706"",""345"",""310"",""877"",""41"","""","""","""","""","""""
"Mali,""1050"",""1344"",""1544"",""2309"",""1680"",""1894"",""2128"",""3006"",""2331"",""1227"",""1782"",""1914"",""1285"",""1012"",""1309"",""826"",""562"",""748"""
"Niger,""2316"",""2226"",""2778"",""2691"",""2209"",""2825"",""2802"",""3929"",""2159"",""2461"",""1358"",""1150"",""2060"",""1333"",""2248"",""2769"",""2366"",""1244"""
"Nigeria,"""","""","""",""6082"",""7878"",""7734"",""3353"",""4238"",""7522"",""8677"",""10289"",""6586"",""6494"",""6032"",""5343"",""4092"",""4317"","""""
"Senegal,""284"",""325"",""526"",""500"",""815"",""649"",""472"",""553"",""574"",""741"",""1935"",""1678"",""1587"",""1524"",""1602"",""1226"",""1515"",""1275"""
"Sierra Leone,""1298"",""1345"",""1107"",""2848"",""4326"",""3611"",""3573"",""8188"",""1734"",""871"",""324"",""90"",""50"",""126"",""157"",""461"",""328"","""""
"Togo,""995"",""847"",""1205"",""1205"",""1361"",""1197"",""1314"",""1507"",""1556"",""2663"",""1236"",""819"",""1024"",""1183"",""1130"",""1661"",""1394"","""""